Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,12374.7001953125,12634.5,12374.7001953125,12611.900390625,12611.900390625,210953500
2013-01-03,12611.900390625,12670.900390625,12597.900390625,12651.2998046875,12651.2998046875,208986300
2013-01-04,12651.400390625,12694.900390625,12612.2998046875,12694.900390625,12694.900390625,175647500
2013-01-07,12694.900390625,12722.0,12661.2001953125,12722.0,12722.0,192750100
2013-01-08,12722.0,12722.400390625,12632.7001953125,12635.0,12635.0,257634000
2013-01-09,12635.0,12710.400390625,12634.7998046875,12709.099609375,12709.099609375,259616000
2013-01-10,12709.0,12774.7001953125,12705.599609375,12730.7998046875,12730.7998046875,271231700
2013-01-11,12730.7001953125,12809.2001953125,12730.7001953125,12797.7998046875,12797.7998046875,257252000
2013-01-14,12797.7998046875,12864.7001953125,12748.099609375,12759.099609375,12759.099609375,241605800
2013-01-15,12759.099609375,12801.0,12747.0,12774.7998046875,12774.7998046875,241308800
2013-01-16,12774.900390625,12774.900390625,12703.0,12763.599609375,12763.599609375,236475800
2013-01-17,12763.7001953125,12847.599609375,12752.0,12847.599609375,12847.599609375,301624000
2013-01-18,12847.599609375,12951.5,12847.599609375,12946.099609375,12946.099609375,243902800
2013-01-21,12946.099609375,12994.900390625,12916.099609375,12994.900390625,12994.900390625,180547700
2013-01-22,12994.900390625,12995.400390625,12922.099609375,12958.099609375,12958.099609375,199380900
2013-01-23,12958.2001953125,12962.900390625,12882.7998046875,12934.400390625,12934.400390625,257438400
2013-01-24,12934.400390625,13066.400390625,12932.7998046875,13066.400390625,13066.400390625,289692400
2013-01-25,13066.400390625,13136.099609375,13054.2998046875,13136.099609375,13136.099609375,270808700
2013-01-28,13136.2001953125,13159.7998046875,13113.099609375,13132.5,13132.5,230298200
2013-01-29,13132.400390625,13148.7001953125,13056.7001953125,13107.599609375,13107.599609375,222392800
2013-01-30,13107.5,13128.7998046875,13015.599609375,13046.5,13046.5,236185500
