Date,Open,High,Low,Close,Adj Close,Volume
2013-03-15,8836.75,8880.6298828125,8781.2099609375,8808.580078125,8808.580078125,0
2013-03-18,8808.5302734375,8841.2802734375,8699.580078125,8812.23046875,8812.23046875,0
2013-03-19,8812.23046875,8825.3896484375,8667.0703125,8720.259765625,8720.259765625,0
2013-03-20,8720.2099609375,8746.33984375,8675.4599609375,8713.16015625,8713.16015625,0
2013-03-21,8711.33984375,8711.33984375,8618.5703125,8646.9697265625,8646.9697265625,0
2013-03-22,8646.9697265625,8678.2998046875,8600.900390625,8627.0498046875,8627.0498046875,0
2013-03-25,8628.41015625,8672.4599609375,8532.419921875,8552.6103515625,8552.6103515625,0
2013-03-26,8552.8203125,8671.400390625,8552.8203125,8652.41015625,8652.41015625,0
2013-03-27,8653.2099609375,8712.4296875,8568.5400390625,8703.650390625,8703.650390625,0
2013-03-28,8706.01953125,8767.330078125,8686.1298828125,8762.240234375,8762.240234375,0
2013-04-01,8761.490234375,8761.490234375,8677.2900390625,8680.98046875,8680.98046875,0
2013-04-02,8680.3701171875,8733.509765625,8540.7001953125,8552.16015625,8552.16015625,0
2013-04-03,8552.4404296875,8664.08984375,8520.7900390625,8664.08984375,8664.08984375,0
2013-04-04,8664.08984375,8665.6904296875,8496.349609375,8521.9501953125,8521.9501953125,0
2013-04-05,8521.759765625,8575.75,8394.7900390625,8553.5595703125,8553.5595703125,0
2013-04-08,8553.490234375,8573.5302734375,8465.990234375,8536.7998046875,8536.7998046875,0
2013-04-09,8540.1396484375,8740.5302734375,8540.1396484375,8709.6298828125,8709.6298828125,0
2013-04-10,8709.8798828125,8879.25,8709.8798828125,8754.599609375,8754.599609375,0
2013-04-11,8755.2001953125,8779.48046875,8608.3798828125,8660.7001953125,8660.7001953125,0
2013-04-12,8660.4599609375,8669.73046875,8511.400390625,8592.48046875,8592.48046875,0
2013-04-15,8591.4599609375,8591.4599609375,8306.759765625,8306.759765625,8306.759765625,0
2013-04-16,8307.1796875,8492.41015625,8307.1796875,8478.8603515625,8478.8603515625,0
2013-04-17,8477.7802734375,8477.900390625,8264.33984375,8342.51953125,8342.51953125,0
2013-04-18,8342.7001953125,8412.4599609375,8277.7998046875,8358.73046875,8358.73046875,0
2013-04-19,8359.26953125,8486.5498046875,8359.26953125,8481.4404296875,8481.4404296875,0
2013-04-22,8481.8203125,8526.66015625,8407.7099609375,8526.66015625,8526.66015625,0
2013-04-23,8526.98046875,8693.01953125,8500.16015625,8650.8896484375,8650.8896484375,0
2013-04-24,8649.3701171875,8763.0703125,8631.8603515625,8662.4697265625,8662.4697265625,0
2013-04-25,8662.740234375,8745.2900390625,8640.23046875,8651.48046875,8651.48046875,0
2013-04-26,8651.48046875,8659.6201171875,8499.9296875,8521.900390625,8521.900390625,0
2013-04-29,8521.9599609375,8705.3203125,8521.9599609375,8630.0498046875,8630.0498046875,0
2013-04-30,8629.9599609375,8853.0703125,8579.58984375,8853.0703125,8853.0703125,0
2013-05-02,8853.3896484375,8864.599609375,8755.0,8779.9296875,8779.9296875,0
2013-05-03,8780.169921875,8936.1201171875,8780.169921875,8809.3896484375,8809.3896484375,0
2013-05-06,8809.3701171875,8828.349609375,8735.7197265625,8815.5400390625,8815.5400390625,0
2013-05-07,8815.509765625,8962.6103515625,8807.1201171875,8956.48046875,8956.48046875,0
2013-05-08,8958.8095703125,9006.4697265625,8902.580078125,8935.7099609375,8935.7099609375,0
2013-05-09,8934.4501953125,9011.7099609375,8862.5400390625,8950.5400390625,8950.5400390625,0
2013-05-10,8949.6103515625,8949.6103515625,8865.5595703125,8904.599609375,8904.599609375,0
2013-05-13,8897.6201171875,8897.6201171875,8781.080078125,8781.080078125,8781.080078125,0
2013-05-14,8781.0,8832.900390625,8747.3896484375,8817.150390625,8817.150390625,0
2013-05-15,8817.099609375,8886.3095703125,8772.849609375,8842.5,8842.5,0
2013-05-16,8843.240234375,8889.33984375,8779.490234375,8804.41015625,8804.41015625,0
2013-05-17,8807.0302734375,8910.7802734375,8807.0302734375,8888.6904296875,8888.6904296875,0
2013-05-20,8887.8203125,8995.4404296875,8815.2900390625,8995.33984375,8995.33984375,0
2013-05-21,8994.91015625,9042.8701171875,8933.0703125,9042.8701171875,9042.8701171875,0
2013-05-22,9043.240234375,9113.01953125,8953.990234375,9018.1904296875,9018.1904296875,0
2013-05-23,9013.91015625,9013.91015625,8841.900390625,8958.0400390625,8958.0400390625,0
2013-05-24,8958.0400390625,8958.419921875,8862.990234375,8945.5400390625,8945.5400390625,0
2013-05-27,8945.91015625,8967.8896484375,8936.4697265625,8936.4697265625,8936.4697265625,0
2013-05-28,8937.2998046875,9044.2802734375,8937.2998046875,8949.169921875,8949.169921875,0
2013-05-29,8948.7099609375,8948.7099609375,8794.6298828125,8794.6298828125,8794.6298828125,0
2013-05-31,8794.5498046875,8828.9599609375,8626.5,8742.509765625,8742.509765625,0
2013-06-03,8744.83984375,8777.2197265625,8678.5,8759.2197265625,8759.2197265625,0
2013-06-04,8763.9296875,8789.7998046875,8677.23046875,8749.080078125,8749.080078125,0
2013-06-05,8750.1904296875,8750.1904296875,8538.91015625,8550.8701171875,8550.8701171875,0
2013-06-06,8556.400390625,8582.4404296875,8475.1904296875,8572.98046875,8572.98046875,0
2013-06-07,8571.830078125,8575.7998046875,8407.5302734375,8439.7802734375,8439.7802734375,0
2013-06-10,8439.7802734375,8473.8603515625,8371.08984375,8404.3603515625,8404.3603515625,0
2013-06-11,8403.580078125,8403.580078125,8181.9501953125,8181.9501953125,8181.9501953125,0
2013-06-12,8182.240234375,8254.509765625,8054.2900390625,8100.5,8100.5,0
2013-06-13,8176.3798828125,8237.6904296875,8076.080078125,8224.0400390625,8224.0400390625,0
2013-06-14,8224.0400390625,8269.400390625,8081.02001953125,8083.02001953125,8083.02001953125,0
2013-06-17,8083.16015625,8236.3701171875,8083.16015625,8130.02001953125,8130.02001953125,0
2013-06-18,8130.06982421875,8165.2099609375,8053.60986328125,8149.2900390625,8149.2900390625,0
2013-06-19,8149.16015625,8166.0,7930.080078125,7969.27978515625,7969.27978515625,0
2013-06-20,7965.990234375,7966.8701171875,7689.64013671875,7966.8701171875,7966.8701171875,0
2013-06-21,7958.89990234375,7958.89990234375,7815.02978515625,7830.8798828125,7830.8798828125,0
2013-06-24,7827.6201171875,7827.6201171875,7553.66015625,7637.68017578125,7637.68017578125,0
2013-06-25,7638.75,7760.0,7609.6298828125,7715.91015625,7715.91015625,0
2013-06-26,7718.06982421875,7846.4501953125,7718.06982421875,7756.43017578125,7756.43017578125,0
2013-06-27,7750.0,7928.43017578125,7750.0,7863.5400390625,7863.5400390625,0
2013-06-28,7863.41015625,7947.919921875,7803.2900390625,7929.2001953125,7929.2001953125,0
2013-07-01,7928.35009765625,7987.64013671875,7873.5,7960.3798828125,7960.3798828125,0
2013-07-02,7960.25,7960.68017578125,7603.169921875,7664.7900390625,7664.7900390625,0
