Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,110.1875,110.2265625,110.1875,110.21875,110.21875,147601
2013-01-03,110.2109375,110.2265625,110.1875,110.1953125,110.1953125,154443
2013-01-04,110.1875,110.1953125,110.125,110.1796875,110.1796875,322812
2013-01-07,110.1875,110.1875,110.171875,110.1796875,110.1796875,114801
2013-01-08,110.1796875,110.21875,110.1796875,110.2109375,110.2109375,208984
2013-01-09,110.2109375,110.2421875,110.203125,110.2421875,110.2421875,183469
2013-01-10,110.234375,110.25,110.21875,110.2265625,110.2265625,171832
2013-01-11,110.21875,110.2421875,110.203125,110.234375,110.234375,180657
2013-01-14,110.234375,110.25,110.2265625,110.2421875,110.2421875,99013
2013-01-15,110.234375,110.25,110.2265625,110.2421875,110.2421875,161606
2013-01-16,110.234375,110.25,110.2265625,110.234375,110.234375,91168
2013-01-17,110.2421875,110.25,110.1953125,110.203125,110.203125,170120
2013-01-18,110.1953125,110.2265625,110.171875,110.21875,110.21875,181255
2013-01-22,110.2265625,110.2421875,110.203125,110.234375,110.234375,159574
2013-01-23,110.234375,110.25,110.2265625,110.234375,110.234375,128381
2013-01-24,110.2421875,110.25,110.21875,110.234375,110.234375,157129
2013-01-25,110.2265625,110.234375,110.1484375,110.15625,110.15625,361472
2013-01-28,110.15625,110.15625,110.1171875,110.140625,110.140625,345264
2013-01-29,110.15625,110.1796875,110.1328125,110.1796875,110.1796875,379847
2013-01-30,110.171875,110.203125,110.1484375,110.1875,110.1875,203441
2013-01-31,110.1953125,110.21875,110.1875,110.2109375,110.2109375,277031
2013-02-01,110.203125,110.25,110.1875,110.2109375,110.2109375,337541
2013-02-04,110.2109375,110.234375,110.1875,110.21875,110.21875,211920
2013-02-05,110.2265625,110.234375,110.1953125,110.203125,110.203125,228467
2013-02-06,110.2265625,110.2421875,110.21875,110.234375,110.234375,167200
2013-02-07,110.234375,110.25,110.203125,110.2265625,110.2265625,286396
2013-02-08,110.2265625,110.234375,110.2109375,110.2265625,110.2265625,115861
2013-02-11,110.2265625,110.234375,110.203125,110.21875,110.21875,101105
2013-02-12,110.21875,110.21875,110.1875,110.1953125,110.1953125,155225
2013-02-13,110.1953125,110.203125,110.1640625,110.1796875,110.1796875,188960
2013-02-14,110.171875,110.203125,110.1640625,110.203125,110.203125,203158
2013-02-15,110.203125,110.2109375,110.1796875,110.1953125,110.1953125,98143
2013-02-19,110.1875,110.1953125,110.171875,110.1875,110.1875,205414
2013-02-20,110.1875,110.2109375,110.171875,110.203125,110.203125,135918
2013-02-21,110.203125,110.234375,110.203125,110.21875,110.21875,278684
2013-02-22,110.2109375,110.234375,110.2109375,110.2265625,110.2265625,269409
2013-02-25,110.21875,110.2578125,110.2109375,110.25,110.25,549811
2013-02-26,110.2578125,110.2734375,110.25,110.265625,110.265625,606317
2013-02-27,110.265625,110.2734375,110.25,110.25,110.25,621303
2013-02-28,110.2578125,110.265625,110.25,110.2578125,110.2578125,240144
2013-03-01,110.265625,110.2734375,110.2578125,110.265625,110.265625,50292
2013-03-04,110.2734375,110.28125,110.265625,110.265625,110.265625,31547
2013-03-05,110.265625,110.2734375,110.2578125,110.2578125,110.2578125,9543
2013-03-06,110.2578125,110.265625,110.2421875,110.2421875,110.2421875,34999
2013-03-07,110.2421875,110.2578125,110.2265625,110.2265625,110.2265625,31824
2013-03-08,110.2265625,110.2265625,110.1953125,110.2265625,110.2265625,14368
2013-03-11,110.2265625,110.234375,110.21875,110.21875,110.21875,6503
2013-03-12,110.2265625,110.234375,110.21875,110.21875,110.21875,5373
2013-03-13,110.2109375,110.2265625,110.203125,110.2109375,110.2109375,10603
2013-03-14,110.2109375,110.2109375,110.1953125,110.1953125,110.1953125,6002
2013-03-15,110.1953125,110.234375,110.1953125,110.2265625,110.2265625,4648
2013-03-18,110.25,110.25,110.2265625,110.2265625,110.2265625,6517
2013-03-19,110.2421875,110.265625,110.234375,110.25,110.25,12457
2013-03-20,110.2421875,110.25,110.21875,110.234375,110.234375,1873
2013-03-21,110.2265625,110.234375,110.21875,110.21875,110.21875,1269
2013-03-22,110.234375,110.234375,110.21875,110.2265625,110.2265625,957
2013-03-25,110.2265625,110.2421875,110.21875,110.234375,110.234375,1283
2013-03-26,110.2421875,110.25,110.21875,110.234375,110.234375,4229
2013-03-27,110.25,110.2578125,110.234375,110.234375,110.234375,572
2013-03-28,110.2578125,110.2578125,110.25,110.25,110.25,173576
2013-04-01,110.2265625,110.2421875,110.2109375,110.2265625,110.2265625,86808
2013-04-02,110.234375,110.234375,110.2109375,110.2265625,110.2265625,192349
2013-04-03,110.234375,110.2578125,110.2265625,110.2578125,110.2578125,189682
2013-04-04,110.2578125,110.2734375,110.2421875,110.2578125,110.2578125,259294
2013-04-05,110.2578125,110.28125,110.2421875,110.2578125,110.2578125,156581
2013-04-08,110.2578125,110.2578125,110.2421875,110.2578125,110.2578125,124992
2013-04-09,110.2578125,110.265625,110.2421875,110.25,110.25,122096
2013-04-10,110.2578125,110.265625,110.2421875,110.25,110.25,154646
2013-04-11,110.2578125,110.265625,110.25,110.25,110.25,110916
2013-04-12,110.25,110.265625,110.25,110.2578125,110.2578125,108355
2013-04-15,110.265625,110.28125,110.25,110.265625,110.265625,150734
2013-04-16,110.2734375,110.28125,110.2578125,110.265625,110.265625,123710
2013-04-17,110.265625,110.2734375,110.2578125,110.265625,110.265625,64777
2013-04-18,110.265625,110.28125,110.2578125,110.265625,110.265625,112244
2013-04-19,110.265625,110.2734375,110.25,110.2578125,110.2578125,110272
2013-04-22,110.25,110.2734375,110.2421875,110.2734375,110.2734375,114482
2013-04-23,110.2734375,110.28125,110.2578125,110.2734375,110.2734375,207116
2013-04-24,110.265625,110.28125,110.265625,110.265625,110.265625,125599
2013-04-25,110.265625,110.28125,110.265625,110.28125,110.28125,142470
2013-04-26,110.28125,110.3125,110.2734375,110.3046875,110.3046875,141273
2013-04-29,110.3125,110.3203125,110.3046875,110.3125,110.3125,122110
